Title,Plot,Released,Genre,Main_Genre,IMDb_Rating,Year,Director,Actors,IMDb_ID
Death Spa,Gruesome deaths begin to occur at a hip Los Angeles health club.,30 Jan 2023,Horror,Horror,5.2,1988,Michael Fischa,"William Bumiller, Brenda Bakke, Merritt Butrick",tt0099384
Death Bell,Students at an elite high school are held captive and forced into a series of sadistic games. They are picked off one by one and held in impenetrable traps where they must rely on the amazing intellects of their classmates to be r...,06 Aug 2008,"Horror, Thriller",Horror,5.5,2008,Hong-Seung Yoon,"Lee Beom-su, Kim Bum, In-sook Choi",tt1438522
The Death Wheelers,"An amiable, psychopathic leader of a violent teen motorbike gang is spurred by his mother, a Satan-worshiping spiritual medium, into committing suicide and returning to life as an ""undead"".",01 Jan 1974,"Adventure, Horror",Horror,5.8,1973,Don Sharp,"George Sanders, Beryl Reid, Nicky Henson",tt0067630
The Death King,"Seven episodes, each taking place on a different day of the week, on the theme of suicide and violent death.",25 Jan 1990,"Drama, Horror",Horror,6.4,1990,Jörg Buttgereit,"Hermann Kopp, Heinrich Ebber, Michael Krause",tt0098486
After Death,A woman goes back to the island where her parents were killed. They had been working on a cure for cancer and accidentally raised the dead by angering a voodoo priest. With the woman is a group of mercenaries and they meet up with...,27 Jul 1990,"Action, Horror",Horror,4.2,1989,Claudio Fragasso,"Jeff Stryker, Candice Daly, Massimo Vanni",tt0094620
Bloodbath at the House of Death,"Six scientists investigate a strange phenomenon at the creepy Headstone Manor, the site of a mysterious massacre years earlier that took the lives of 18 guests in one night.",30 Mar 1984,"Horror, Comedy",Horror,5.0,1984,Ray Cameron,"Kenny Everett, Vincent Price, Pamela Stephenson",tt0086981
The Grapes of Death,A young woman discovers that the pesticide being sprayed on vineyards is turning people into killer zombies.,05 Jul 1978,Horror,Horror,6.1,1978,Jean Rollin,"Marie-Georges Pascal, Félix Marten, Serge Marquand",tt0078077
Death Whisperer,"After Yak, the elder brother returned to his hometown, he must find a way to save his younger sister from a bizarre illness that is causing her to behave differently.",26 Oct 2023,"Horror, Thriller",Horror,5.8,2023,Taweewat Wantha,"Nadech Kugimiya, Jelilcha Kapaun, Rattawadee Wongthong",tt29609422
Death Count,"Strangers awaken in individual holding cells with no memory of how they arrived. They realize if they don't acquire enough online ""likes"" in a timely manner, they'll die horribly at the hands of a sinister executioner.",19 Jul 2022,Horror,Horror,4.7,2022,Michael Su,"Costas Mandylor, Michael Madsen, Robert LaSardo",tt12338246
Death Bed: The Bed That Eats,A bed possessed by a demon spirit consumes its users alive.,15 Feb 2003,Horror,Horror,4.3,1977,George Barry,"Demene Hall, William Russ, Julie Ritter",tt0385639
Gehenna: Where Death Lives,"Developers searching for a location to build a new resort are trapped in a subterranean WWII bunker, where they are confronted by an ancient evil.",04 May 2018,"Horror, Mystery, Thriller",Horror,4.9,2016,Hiroshi Katagiri,"Doug Jones, Lance Henriksen, Simon Phillips",tt4499228
The Man Who Could Cheat Death,A centenarian artist and scientist in 1890 Paris maintains his youth and health by periodically replacing a gland with that of a living person.,30 Nov 1959,"Drama, Horror, Sci-Fi",Horror,6.3,1959,Terence Fisher,"Anton Diffring, Hazel Court, Christopher Lee",tt0053041
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",02 May 2008,"Action, Adventure, Sci-Fi",Sci-Fi,7.9,2008,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard",tt0371746
Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",03 May 2013,"Action, Adventure, Sci-Fi",Sci-Fi,7.1,2013,Shane Black,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow",tt1300854
Spider-Man,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",03 May 2002,"Action, Adventure, Sci-Fi",Sci-Fi,7.4,2002,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe",tt0145487
Iron Man 2,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",07 May 2010,"Action, Sci-Fi",Sci-Fi,6.9,2010,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow",tt1228705
Man of Steel,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.,14 Jun 2013,"Action, Adventure, Sci-Fi",Sci-Fi,7.1,2013,Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon",tt0770828
Spider-Man: Homecoming,Peter Parker tries to stop Adrian 'The Vulture' Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,07 Jul 2017,"Action, Adventure, Sci-Fi",Sci-Fi,7.4,2017,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr.",tt2250912
Ant-Man,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",17 Jul 2015,"Action, Comedy, Sci-Fi",Sci-Fi,7.2,2015,Peyton Reed,"Paul Rudd, Michael Douglas, Corey Stoll",tt0478970
Spider-Man 2,Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.,30 Jun 2004,"Action, Adventure, Sci-Fi",Sci-Fi,7.5,2004,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Alfred Molina",tt0316654
The Amazing Spider-Man,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",03 Jul 2012,"Action, Sci-Fi",Sci-Fi,6.9,2012,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans",tt0948470
Spider-Man 3,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",04 May 2007,"Action, Adventure, Sci-Fi",Sci-Fi,6.3,2007,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace",tt0413300
The Amazing Spider-Man 2,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",02 May 2014,"Action, Adventure, Sci-Fi",Sci-Fi,6.6,2014,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx",tt1872181
Demolition Man,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,08 Oct 1993,"Action, Sci-Fi, Thriller",Sci-Fi,6.7,1993,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock",tt0106697
The Running Man,"In a dystopian America, a falsely convicted policeman gets his shot at freedom when he must forcibly participate in a TV game show where convicts, runners, must battle killers for their freedom.",13 Nov 1987,"Action, Sci-Fi, Thriller",Sci-Fi,6.6,1987,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto",tt0093894
Hollow Man,"A brilliant scientist's discovery renders him invisible, but transforms him into an omnipotent, dangerous megalomaniac.",04 Aug 2000,"Action, Horror, Sci-Fi",Sci-Fi,5.9,2000,Paul Verhoeven,"Kevin Bacon, Elisabeth Shue, Josh Brolin",tt0164052
Bicentennial Man,"The life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinar...",17 Dec 1999,"Drama, Romance, Sci-Fi",Sci-Fi,6.9,1999,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill",tt0182789
Gemini Man,An over-the-hill hitman faces off against a younger clone of himself.,11 Oct 2019,"Action, Sci-Fi, Thriller",Sci-Fi,5.7,2019,Ang Lee,"Will Smith, Mary Elizabeth Winstead, Clive Owen",tt1025100
The Invisible Man,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",13 Nov 1933,"Horror, Sci-Fi",Sci-Fi,7.6,1933,James Whale,"Claude Rains, Gloria Stuart, William Harrigan",tt0024184
The Lawnmower Man,A simple man is turned into a genius through the application of computer science.,06 Mar 1992,"Horror, Sci-Fi",Sci-Fi,5.4,1992,Brett Leonard,"Jeff Fahey, Pierce Brosnan, Jenny Wright",tt0104692
The Omega Man,Dr Robert Neville has developed an experimental vaccine which makes him the only immune survivor of a biological catastrophe. A gang of homicidal mutants blame science for their condition and attempt to kill him.,01 Aug 1971,"Action, Drama, Sci-Fi",Sci-Fi,6.4,1971,Boris Sagal,"Charlton Heston, Anthony Zerbe, Rosalind Cash",tt0067525
The Man Who Fell to Earth,"An alien must pose as a human to save his dying planet, but a woman and greed of other men create complications.",08 Apr 1976,"Drama, Sci-Fi",Sci-Fi,6.6,1976,Nicolas Roeg,"David Bowie, Rip Torn, Candy Clark",tt0074851
The Man with Two Brains,"A brain surgeon marries a femme fatale whose life he saved, causing his life to turn upside down. Things go even more awry when he falls in love with a telepathic brain.",03 Jun 1983,"Comedy, Romance, Sci-Fi",Sci-Fi,6.4,1983,Carl Reiner,"Steve Martin, Kathleen Turner, David Warner",tt0085894
Memoirs of an Invisible Man,"After a freak accident, a company executive turns completely invisible, goes on the run, and becomes hunted by a treacherous CIA official while trying to cope with his new reality.",28 Feb 1992,"Comedy, Romance, Sci-Fi",Sci-Fi,6.0,1992,John Carpenter,"Chevy Chase, Daryl Hannah, Sam Neill",tt0104850
Tetsuo: The Iron Man,"A businessman accidentally kills The Metal Fetishist, who gets his revenge by slowly turning the man into a grotesque hybrid of flesh and rusty metal.",01 Jul 1989,"Horror, Sci-Fi",Sci-Fi,6.9,1989,Shin'ya Tsukamoto,"Tomorô Taguchi, Kei Fujiwara, Nobu Kanaoka",tt0096251
The Last Man on Earth,"When a disease turns all of humanity into the living dead, the last man on earth becomes a reluctant vampire hunter.",06 May 1964,"Drama, Horror, Sci-Fi",Sci-Fi,6.7,1964,"Ubaldo Ragona, Sidney Salkow","Vincent Price, Franca Bettoia, Emma Danieli",tt0058700
The Incredible Shrinking Man,"After Scott Carey begins to shrink because of exposure to a combination of radiation and insecticide, medical science is powerless to help him.",10 Apr 1957,"Horror, Sci-Fi",Sci-Fi,7.6,1957,Jack Arnold,"Grant Williams, Randy Stuart, April Kent",tt0050539
The Man Who Killed Hitler and Then the Bigfoot,A legendary American war veteran is recruited to hunt a mythical creature.,08 Feb 2019,"Adventure, Drama, Sci-Fi",Sci-Fi,5.7,2018,Robert D. Krzykowski,"Sam Elliott, Rocco Gioffre, Aidan Turner",tt7042862
Last Man Down,"John Wood left the pieces of a broken civilisation behind, to go back to his roots in the woodland, after a virus pandemic struck the world.",19 Oct 2021,"Action, Sci-Fi",Sci-Fi,3.5,2021,Fansu Njie,"Daniel Stisen, Olga Kent, Daniel Nehme",tt12335692
The Man in the White Suit,"An altruistic chemist invents a fabric which resists wear and stain as a boon to humanity, but big business and labor realize it must be suppressed for economic reasons.",N/A,"Comedy, Drama, Sci-Fi",Sci-Fi,7.2,1951,Alexander Mackendrick,"Alec Guinness, Joan Greenwood, Cecil Parker",tt0044876
The Man from Earth: Holocene,"A 14,000-year-old college professor notices that he has finally started showing signs of aging. Meanwhile, four of his students get suspicious of him and start investigating his past.",15 Jan 2018,"Drama, Fantasy, Sci-Fi",Sci-Fi,5.2,2017,Richard Schenkman,"David Lee Smith, Doug Haley, Davi Santos",tt5770864
Frankenstein Meets the Wolf Man,"The resurrected Wolf Man, seeking a cure for his malady, enlists the aid of a mad scientist, who claims he will not only rid the Wolf Man of his nocturnal metamorphosis, but also revive the frozen body of Frankenstein's inhuman cr...",05 Mar 1943,"Fantasy, Horror, Sci-Fi",Sci-Fi,6.4,1943,Roy William Neill,"Lon Chaney Jr., Ilona Massey, Patric Knowles",tt0035899
Lawnmower Man 2: Beyond Cyberspace,"They thought they had destroyed him, but the simple gardener-turned-superkiller has found a way to reboot himself in Lawnmower Man 2: Beyond Cyberspace.",12 Jan 1996,"Action, Sci-Fi, Thriller",Sci-Fi,2.6,1995,Farhad Mann,"Patrick Bergin, Matt Frewer, Austin O'Brien",tt0116839
Wonder Woman,A modern man's trespass of the island of the Amazons enables an imprisoned war god to escape and Princess Diana wins the responsibility to recapture him.,03 Mar 2009,"Animation, Action, Adventure, Fantasy, Sci-Fi",Sci-Fi,7.3,2009,Lauren Montgomery,"Keri Russell, Nathan Fillion, Alfred Molina, Rosario Dawson",tt1186373
Attack of the 50 Foot Woman,"When an abused socialite grows to giant size because of an alien encounter and an aborted murder attempt, she goes after her cheating husband with revenge on her mind.",18 May 1958,"Drama, Horror, Sci-Fi",Sci-Fi,5.1,1958,Nathan Juran,"Allison Hayes, William Hudson, Yvette Vickers",tt0051380
The Wasp Woman,"The head of a major cosmetics company experiments on herself with a youth formula made from royal jelly extracted from wasps, but the formula's side effects have deadly consequences.",30 Oct 1959,"Horror, Sci-Fi",Sci-Fi,4.8,1959,Roger Corman,"Susan Cabot, Anthony Eisley, Barboura Morris",tt0054462
Frankenstein Created Woman,"After being reanimated, Baron Frankenstein transfers the soul of an executed young man into the body of his lover, prompting her to kill the men who wronged them.",15 Mar 1967,"Horror, Sci-Fi",Sci-Fi,6.5,1967,Terence Fisher,"Peter Cushing, Susan Denberg, Thorley Walters",tt0061683
The Incredible Shrinking Woman,A housewife grows smaller and smaller in reaction to chemicals found in cosmetics and household products.,30 Jan 1981,"Comedy, Sci-Fi",Sci-Fi,5.5,1981,Joel Schumacher,"Lily Tomlin, Charles Grodin, Ned Beatty",tt0082558
Attack of the 50 Ft. Woman,"When an abused heiress grows to giant size because of her encounter with aliens, she decides to get revenge on her cheating husband and those who annoyed her.",11 Dec 1993,"Comedy, Sci-Fi",Sci-Fi,4.0,1993,Christopher Guest,"Daryl Hannah, Daniel Baldwin, William Windom",tt0106317
The Leech Woman,"An endocrinologist in a dysfunctional marriage with an aging, alcoholic wife journeys to Africa seeking a drug that will restore youth.",01 May 1960,"Horror, Romance, Sci-Fi",Sci-Fi,4.8,1960,Edward Dein,"Coleen Gray, Grant Williams, Phillip Terry",tt0054020
Bionic Showdown: The Six Million Dollar Man and the Bionic Woman,"The Bionic Woman and the Six Million Dollar Man reunite, with a few younger bionic assistants, and try to catch a bionic spy.",30 Apr 1989,"Action, Sci-Fi",Sci-Fi,5.9,1989,Alan J. Levi,"Lindsay Wagner, Lee Majors, Richard Anderson",tt0096931
The Return of the Six-Million-Dollar Man and the Bionic Woman,"Nine years after his retirement from the government, Colonel Steve Austin must again team up with Jaime Sommers to stop a terrorist group. Complicating matters for Austin are his estranged son Michael, who struggles for his father...",17 May 1987,"Action, Sci-Fi",Sci-Fi,6.3,1987,Ray Austin,"Lindsay Wagner, Lee Majors, Tom Schanley",tt0093853
The Bat Woman,Batwoman is called to investigate a whacked-out scientist who is capturing wrestlers and using their spinal fluid to create a Gill Man.,28 Mar 1968,"Adventure, Horror, Sci-Fi",Sci-Fi,4.8,1968,René Cardona,"Maura Monti, Roberto Cañedo, Héctor Godoy",tt0235608
Captive Wild Woman,An insane scientist doing experimentation in glandular research becomes obsessed with transforming a female gorilla into a human...even though it costs human life.,04 Jun 1943,"Horror, Sci-Fi",Sci-Fi,5.4,1943,Edward Dmytryk,"John Carradine, Evelyn Ankers, Milburn Stone",tt0035713
"Blind Willow, Sleeping Woman","A giant talkative frog, a lost cat, and a tsunami help a bank employee, his wife and a schizophrenic accountant to save Tokyo from an earthquake and find a meaning to their lives.",23 Jun 2022,"Animation, Drama, Sci-Fi",Sci-Fi,7.1,2022,Pierre Földes,"Amaury de Crayencour, Mathilde Auneveux, Arnaud Maillard",tt9320184
It's All About Love,Two lovers attempt to save their relationship in a near-future world on the brink of cosmic collapse.,10 Jan 2003,"Drama, Romance, Sci-Fi",Sci-Fi,5.3,2003,Thomas Vinterberg,"Joaquin Phoenix, Claire Danes, Sean Penn",tt0273689
Love,"A man spends years alone on a space station orbiting Earth after losing communication with Houston/Earth. He spends time on maintenance, exercise, watching old messages, and reading a journal by a soldier in the American Civil War.",07 Sep 2012,"Drama, Music, Sci-Fi",Sci-Fi,5.4,2011,William Eubank,"Gunner Wright, Corey Richardson, Bradley Horne",tt1541874
Mad Love,"In Paris, a demented surgeon's obsession with a British actress leads him to secretly replace her concert-pianist husband's mangled hands with those of a guillotined murderer with a gift for knife-throwing.",12 Jul 1935,"Horror, Romance, Sci-Fi",Sci-Fi,7.2,1935,Karl Freund,"Peter Lorre, Frances Drake, Colin Clive",tt0026663
Dark City,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",27 Feb 1998,"Fantasy, Mystery, Sci-Fi",Sci-Fi,7.6,1998,Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly",tt0118929
Resident Evil: Welcome to Raccoon City,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.",24 Nov 2021,"Action, Horror, Sci-Fi",Sci-Fi,5.2,2021,Johannes Roberts,"Kaya Scodelario, Robbie Amell, Hannah John-Kamen",tt6920084
Nightmare City,"An airplane exposed to radiation lands, and blood drinking zombies emerge armed with knives, guns and teeth! They go on a rampage slicing, dicing, and biting their way across the Italian countryside.",18 Nov 1983,"Horror, Sci-Fi, Thriller",Sci-Fi,5.6,1980,Umberto Lenzi,"Hugo Stiglitz, Laura Trotter, Maria Rosaria Omaggio",tt0080931
Godzilla: City on the Edge of Battle,"Humanity's desperate battle to reclaim the Earth from Godzilla continues. The key to defeating the King of the Monsters may be Mechagodzilla, a robotic weapon thought to have been lost nearly 20,000 years ago.",18 Jul 2018,"Animation, Action, Sci-Fi",Sci-Fi,5.8,2018,"Hiroyuki Seshita, Kôbun Shizuno","Mamoru Miyano, Takahiro Sakurai, Kana Hanazawa",tt8015080
Natural City,"In the near future, humans rely heavily on androids to maintain society, but some of the machines revolt. A military officer in charge of doing away with the unruly cyborgs also loves the gynoid that looks over him.",05 Sep 2003,"Action, Drama, Sci-Fi",Sci-Fi,5.7,2003,Byung-chun Min,"Yoo Ji-tae, Lee Jae-un, Rin Seo",tt0378428
Lost City Raiders,"The year is 2048, and global warming has flooded much of Earth's land areas. A father and his two sons try to salvage treasures from sunken buildings when they are given an important assignment by the New Vatican.",31 Oct 2008,"Action, Adventure, Sci-Fi",Sci-Fi,4.0,2008,Jean de Segonzac,"James Brolin, Ian Somerhalder, Bettina Zimmermann",tt1198403
Black Mask 2: City of Masks,The Black Mask must stop a group intent on setting off a DNA bomb that could cause mutations to the human race.,09 Jan 2003,"Action, Drama, Sci-Fi",Sci-Fi,3.7,2002,Hark Tsui,"Andy On, Tobin Bell, Jon Polito",tt0264429
City Limits,"A pair of teenage motorcycle gangs maintain an uneasy truce between each other in the not-too-distant future. When an evil corporation tries to take over their ruined city, the gangs must decide whether to fight their common enemy.",01 Sep 1985,"Action, Adventure, Sci-Fi",Sci-Fi,2.5,1984,Aaron Lipstadt,"John Stockwell, Darrell Larson, Rae Dawn Chong",tt0088925
Lego DC Comics Superheroes: Justice League - Gotham City Breakout,Batman goes on vacation and chaos erupts in Gotham.,13 Jul 2016,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",Sci-Fi,6.1,2016,"Matt Peters, Melchior Zwyer","Troy Baker, Eric Bauza, Greg Cipes, John DiMaggio",tt5612702
Neon City,"""Mad Max"" clone set in the not-too-distant future about a group of people trying to escape to a safe haven called Neon City after a solar disaster that has decimated the Earth.",01 Feb 1992,"Action, Adventure, Sci-Fi",Sci-Fi,5.3,1991,Monte Markham,"Michael Ironside, Vanity, Lyle Alzado",tt0104981
The Silent City,Three soldiers try to reach a city far away in a post-apocalyptic world while facing opposition on their way.,01 Oct 2006,"Short, Sci-Fi",Sci-Fi,6.6,2006,Ruairi Robinson,"Don Wycherley, Garvan McGrath, Cillian Murphy",tt0947076
Taeter City,"A cannibal dictator brings Taeter City's crime rates next to zero by using a mass-control radio-wave emission. But as he recycles the criminals' bodies as food, the ultimate mutation emerges. Can his elite police squad clean up th...",25 Aug 2018,"Action, Horror, Sci-Fi",Sci-Fi,4.8,2012,Giulio De Santi,"Monica Muñoz, Santiago Ortaez, Wilmar Zimosa",tt2306836
City Under Siege,"When circus clown Sunny gets transformed into a super-powered mutant, he finds himself pitted against his fellow performers, who were altered in the same accident, and are now using their powers to wreak havoc around the city.",12 Aug 2010,"Action, Sci-Fi, Thriller",Sci-Fi,4.6,2010,Benny Chan,"Aaron Kwok, Shu Qi, Jing Wu",tt1691832
Zebraman 2: Attack on Zebra City,"Zebraman awakens fifteen years in the future, unclear on what has happened to him, and quickly discovers that the evil Zebra Queen has a hold on Tokyo.",01 May 2010,"Action, Sci-Fi",Sci-Fi,6.0,2010,Takashi Miike,"Shô Aikawa, Riisa Naka, Tsuyoshi Abe",tt1534568
Jurassic World,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",12 Jun 2015,"Action, Adventure, Sci-Fi",Sci-Fi,6.9,2015,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins",tt0369610
The Lost World: Jurassic Park,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",22 May 1997,"Action, Adventure, Sci-Fi",Sci-Fi,6.6,1997,Steven Spielberg,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite",tt0119567
Jurassic World: Fallen Kingdom,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",22 Jun 2018,"Action, Adventure, Sci-Fi",Sci-Fi,6.1,2018,J.A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall",tt4881806
Jurassic World: Dominion,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",10 Jun 2022,"Action, Adventure, Sci-Fi",Sci-Fi,5.6,2022,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern",tt8041270
Captain America: Brave New World,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan.",14 Feb 2025,"Action, Adventure, Sci-Fi",Sci-Fi,5.7,2025,Julius Onah,"Anthony Mackie, Harrison Ford, Danny Ramirez",tt14513804
The Thing from Another World,Scientists and American Air Force officials fend off a bloodthirsty alien organism while at a remote arctic outpost.,07 Apr 1951,"Horror, Sci-Fi",Sci-Fi,7.1,1951,"Christian Nyby, Howard Hawks","Kenneth Tobey, Margaret Sheridan, James Arness",tt0044121
Until the End of the World,"Claire and Eugene's relationship is falling apart, while a nuclear satellite threatens to fall out of orbit and destroy Earth. Claire travels the world when she meets Sam, a man with connections to technology that could change eve...",25 Dec 1991,"Action, Drama, Sci-Fi",Sci-Fi,6.8,1991,Wim Wenders,"William Hurt, Solveig Dommartin, Pietro Falcone",tt0101458
The Man Who Saved the World,"Two space cadets crash-land on a desert planet, where an evil wizard seeks the ultimate power to take over the world.",01 Nov 1982,"Action, Adventure, Sci-Fi",Sci-Fi,4.4,1982,Çetin Inanç,"Cüneyt Arkin, Aytekin Akkaya, Füsun Uçar",tt0182060
The Haunted World of El Superbeasto,"A washed-up luchador and a super-spy investigate Nazi zombies, a nefarious scientist, and a stripper with a Satanic birthmark.",12 Sep 2009,"Animation, Action, Comedy, Fantasy, Horror, Musical, Sci-Fi",Sci-Fi,5.9,2009,Rob Zombie,"Joe Alaskey, Ken Foree, Sheri Moon Zombie, Tom Papa",tt0419724
Forbidden World,"In the distant future, a federation marshal arrives at a research lab on a remote planet where a genetic experiment has gotten loose and begins feeding on the dwindling scientific group.",07 May 1982,"Horror, Sci-Fi",Sci-Fi,5.1,1982,Allan Holzman,"Don Olivera, Jesse Vint, June Chadwick",tt0083959
Future World,A young boy searches a future world wasteland for a rumored cure for his dying mother.,25 May 2018,"Action, Adventure, Sci-Fi",Sci-Fi,3.3,2018,"James Franco, Bruce Thierry Cheung","James Franco, Suki Waterhouse, Jeff Wahlberg",tt5737536
Animal World,A man finds himself deep in debt and is coerced to board a ship that hosts a risky gambling party.,29 Jun 2018,"Action, Fantasy, Sci-Fi",Sci-Fi,6.4,2018,Yan Han,"Yifeng Li, Yunhe Yi, Bingkun Cao",tt7946836
World Record,"An athlete, Dan, breaks out of the matrix through a feat of strength and gets a brief glimse of the real world outside his existance.",03 Jun 2003,"Animation, Short, Sci-Fi",Sci-Fi,7.1,2003,Takeshi Koike,"Victor Williams, John Wesley, Alex Fernandez",tt0368576
The Wild World of Batwoman,Batwoman and her bevy of Batmaidens fight evil and dance.,N/A,"Comedy, Music, Sci-Fi",Sci-Fi,1.8,1966,Jerry Warren,"Katherine Victor, G.J. Mitchell, Steve Brodie",tt0061191
The Lost World,Professor Challenger leads an expedition of scientists and adventurers to a remote plateau deep in the Amazonian jungle to verify his claim that dinosaurs still live there.,13 Jul 1960,"Adventure, Fantasy, Sci-Fi",Sci-Fi,5.5,1960,Irwin Allen,"Michael Rennie, Jill St. John, David Hedison",tt0054038
The Strongest Man in the World,Dexter Riley and his friends accidently discover a new chemical mixed with a cereal seems to give anyone temporary superhuman strength,06 Feb 1975,"Comedy, Family, Sci-Fi",Sci-Fi,5.9,1975,Vincent McEveety,"Kurt Russell, Joe Flynn, Eve Arden",tt0073760
Master of the World,"In 1868, an American scientist and his team become hostages of fanatical pacifist Robur who uses his airship Albatross to destroy military targets on Earth.",01 May 1961,"Adventure, Sci-Fi",Sci-Fi,5.8,1961,William Witney,"Vincent Price, Charles Bronson, Henry Hull",tt0055152
"The World, the Flesh and the Devil","A miner trapped in a cave-in resurfaces, and upon discovering mankind has been wiped out in a nuclear holocaust, sets out to find other survivors.",01 May 1959,"Drama, Romance, Sci-Fi",Sci-Fi,6.8,1959,Ranald MacDougall,"Harry Belafonte, Inger Stevens, Mel Ferrer",tt0053454
Another World,"In a post-apocalyptic future, a biological warfare program gone wrong leaves only four survivors defending themselves from ""the infected"" - mindless killers. As they struggle to survive and make sense of what is happening, they fi...",01 Mar 2016,"Action, Horror, Sci-Fi",Sci-Fi,3.5,2014,Eitan Reuven,"Larry Butchins, Zach Cohen, Susanne Gschwendtner",tt1920846
The Monster That Challenged the World,When a horde of prehistoric mollusk monsters enter the canal system of the California's Imperial Valley and terrorize the populace.,04 Dec 1957,"Horror, Sci-Fi, Thriller",Sci-Fi,5.7,1957,Arnold Laven,"Tim Holt, Audrey Dalton, Hans Conried",tt0050722
Crack in the World,"A dying scientist pushes forward his project to tap through to the Earth's magma layer, with results that threaten to destroy the Earth as we know it.",15 Apr 1965,"Action, Drama, Sci-Fi",Sci-Fi,5.9,1965,Andrew Marton,"Dana Andrews, Janette Scott, Kieron Moore",tt0059065
Warrior of the Lost World,"A nomad mercenary on a high-tech motorcycle helps bring about the downfall of the evil Orwellian government, the Omega.",01 Sep 1985,"Action, Sci-Fi, Thriller",Sci-Fi,2.7,1983,David Worth,"Robert Ginty, Persis Khambatta, Donald Pleasence",tt0088380
Sense8: Creating the World,"Go behind the scenes and around the world with the ""Sense8"" cast and crew in this in-depth look at how the hit series is made.",01 Aug 2015,"Documentary, Short, Sci-Fi",Sci-Fi,8.5,2015,"Josh Oreck, Lana Wachowski","Freema Agyeman, Aml Ameen, Naveen Andrews",tt6963278
2025 - The World enslaved by a Virus,"We are in 2025: since the appearance of covid-19 in 2020, the world is no longer the same: a new system with a single world government has been put in place.",15 Jan 2021,"Adventure, Sci-Fi",Sci-Fi,1.0,2021,"Joshua Wesely, Simon Wesely","Joshua Wesely, Antonia Joy Speer, Matthew Dougan",tt13788842
